,date,total,crime,nocrime
0,2021-06-11,734,206,541
1,2021-06-05,679,197,504
2,2021-06-25,666,195,483
3,2021-06-24,662,193,478
4,2021-06-04,648,174,473
5,2021-06-19,634,171,470
6,2021-06-09,626,171,469
7,2021-06-03,623,165,455
8,2021-06-10,620,158,455
9,2021-06-23,614,157,449
10,2021-06-07,596,156,436
11,2021-06-17,584,153,429
12,2021-06-02,583,152,422
13,2021-06-22,582,150,419
14,2021-06-06,554,150,416
15,2021-06-12,552,147,413
16,2021-06-01,550,146,398
17,2021-06-18,546,142,397
18,2021-06-08,532,141,395
19,2021-06-16,531,138,384
20,2021-06-26,530,135,382
21,2021-06-30,516,134,374
22,2021-06-15,505,134,370
23,2021-06-28,494,127,360
24,2021-06-21,457,124,353
25,2021-06-20,438,122,311
26,2021-06-29,431,121,309
27,2021-06-14,426,105,305
28,2021-06-13,394,104,289
29,2021-06-27,337,82,255
30,2021-05-31,41,12,29
